# New planet
3.827892251427079950e-05 4.937245893500611997e-06
3.861610713509501638e-05 4.999077539279192297e-06
3.895459346232276859e-05 5.061336833010565284e-06
3.929437920531855393e-05 5.124023548760141620e-06
3.963546208382034720e-05 5.187137441485121644e-06
3.997783982810886445e-05 5.250678247155211109e-06
4.032151017917537042e-05 5.314645682874816707e-06
4.066647088888805607e-05 5.379039447006712871e-06
4.101271972015696612e-05 5.443859219297163791e-06
4.136025444709745606e-05 5.509104661002487926e-06
4.170907285519217871e-05 5.574775415017050607e-06
4.205917274145159362e-05 5.640871106002669498e-06
4.241055191457297204e-05 5.707391340519421050e-06
4.276320819509791800e-05 5.774335707157826763e-06
4.311713941556837140e-05 5.841703776672405721e-06
4.347234342068107975e-05 5.909495102116578988e-06
4.382881806744057230e-05 5.977709218978898764e-06
4.418656122531056888e-05 6.046345645320593830e-06
4.454557077636386408e-05 6.115403881914405872e-06
4.490584461543067321e-05 6.184883412384700587e-06
4.526738065024537905e-05 6.254783703348830708e-06
4.563017680159176074e-05 6.325104204559732305e-06
4.599423100344661669e-05 6.395844349049738274e-06
4.635954120312180186e-05 6.467003553275578520e-06
4.672610536140469289e-05 6.538581217264555822e-06
4.709392145269706084e-05 6.610576724761873657e-06
4.746298746515230415e-05 6.682989443379094824e-06
4.783330140081110934e-05 6.755818724743709669e-06
4.820486127573545172e-05 6.829063904649796992e-06
4.857766512014099672e-05 6.902724303209752209e-06
4.895171097852786150e-05 6.976799225007067536e-06
4.932699690980971630e-05 7.051287959250141310e-06
4.970352098744125951e-05 7.126189779927096130e-06
5.008128129954401227e-05 7.201503945961587181e-06
5.046027594903047309e-05 7.277229701369581257e-06
5.084050305372659890e-05 7.353366275417084458e-06
5.122196074649258511e-05 7.429912882778801627e-06
5.160464717534200591e-05 7.506868723697708039e-06
5.198856050355923333e-05 7.584232984145508783e-06
5.237369890981517589e-05 7.662004835983979900e-06
5.276006058828130270e-05 7.740183437127157409e-06
5.314764374874199397e-05 7.818767931704364890e-06
5.353644661670512963e-05 7.897757450224064384e-06
5.392646743351102451e-05 7.977151109738505195e-06
5.431770445643957463e-05 8.056948014009157903e-06
5.471015595881571623e-05 8.137147253672924243e-06
5.510382023011314319e-05 8.217747906409100857e-06
5.549869557605628309e-05 8.298749037107076566e-06
5.589478031872053166e-05 8.380149698034766571e-06
